word,max_lem_cat,max_lem_lemma,marking
abandonado,ADJECTIVE,abandonado,
abatido,ADJECTIVE,abatido,
abdominales,ADJECTIVE,abdominal,
aberrante,ADJECTIVE,aberrante,
abierta,ADJECTIVE,abierto,
abiertas,ADJECTIVE,abierto,
abierto,ADJECTIVE,abierto,
abominable,ADJECTIVE,abominable,
aborigen,ADJECTIVE,aborigen,
aborígenes,ADJECTIVE,aborigen,
abrasador,ADJECTIVE,abrasador,
abrumador,ADJECTIVE,abrumador,
abrupto,ADJECTIVE,abrupto,
absoluta,ADJECTIVE,absoluto,
absoluto,ADJECTIVE,absoluto,
absorbente,ADJECTIVE,absorbente,
absorto,ADJECTIVE,absorto,
abstracto,ADJECTIVE,abstracto,
absurdo,ADJECTIVE,absurdo,
abultado,ADJECTIVE,abultado,
abundante,ADJECTIVE,abundante,
aburrida,ADJECTIVE,aburrido,
aburridas,ADJECTIVE,aburrido,
aburrido,ADJECTIVE,aburrido,
aburridos,ADJECTIVE,aburrido,
abusador,ADJECTIVE,abusador,
abusivo,ADJECTIVE,abusivo,
acabada,ADJECTIVE,acabado,
académico,ADJECTIVE,académico,
acalorado,ADJECTIVE,acalorado,
accesible,ADJECTIVE,accesible,
accesorios,ADJECTIVE,accesorio,
aceitoso,ADJECTIVE,aceitoso,
acelerado,ADJECTIVE,acelerado,
aceptable,ADJECTIVE,aceptable,
acepto,ADJECTIVE,acepto,
acertada,ADJECTIVE,acertado,
ácida,ADJECTIVE,ácido,
ácido,ADJECTIVE,ácido,
acogedor,ADJECTIVE,acogedor,
acomodado,ADJECTIVE,acomodado,
acompañado,ADJECTIVE,acompañado,
acorralado,ADJECTIVE,acorralado,
acotado,ADJECTIVE,acotado,
acreedor,ADJECTIVE,acreedor,
activa,ADJECTIVE,activo,
física,ADJECTIVE,físico,
activo,ADJECTIVE,activo,
activos,ADJECTIVE,activo,
actual,ADJECTIVE,actual,
acuático,ADJECTIVE,acuático,
acuoso,ADJECTIVE,acuoso,
adaptable,ADJECTIVE,adaptable,
adecuada,ADJECTIVE,adecuado,
adecuado,ADJECTIVE,adecuado,
adelantado,ADJECTIVE,adelantado,
adhesiva,ADJECTIVE,adhesivo,
adhesivo,ADJECTIVE,adhesivo,
adicional,ADJECTIVE,adicional,
adictivo,ADJECTIVE,adictivo,
adinerado,ADJECTIVE,adinerado,
adinerados,ADJECTIVE,adinerado,
adjetivos,ADJECTIVE,adjetivo,
adjunto,ADJECTIVE,adjunto,
administrativo,ADJECTIVE,administrativo,
admirable,ADJECTIVE,admirable,
admirado,ADJECTIVE,admirado,
adolescente,ADJECTIVE,adolescente,
adorable,ADJECTIVE,adorable,
adosado,ADJECTIVE,adosado,
adulto,ADJECTIVE,adulto,H
aérea,ADJECTIVE,aéreo,
aéreo,ADJECTIVE,aéreo,
afable,ADJECTIVE,afable,
afamado,ADJECTIVE,afamado,
afectado,ADJECTIVE,afectado,
afectivo,ADJECTIVE,afectivo,
afectuoso,ADJECTIVE,afectuoso,
afilado,ADJECTIVE,afilado,
afín,ADJECTIVE,afín,
afirmativo,ADJECTIVE,afirmativo,
afligido,ADJECTIVE,afligido,
afortunado,ADJECTIVE,afortunado,
afro,ADJECTIVE,afro,
agarrado,ADJECTIVE,agarrado,
ágil,ADJECTIVE,ágil,
agitado,ADJECTIVE,agitado,
agobiado,ADJECTIVE,agobiado,
agobiante,ADJECTIVE,agobiante,
agotada,ADJECTIVE,agotado,
agotado,ADJECTIVE,agotado,
agotador,ADJECTIVE,agotador,
agraciado,ADJECTIVE,agraciado,
agradable,ADJECTIVE,agradable,
agradables,ADJECTIVE,agradable,
agradecido,ADJECTIVE,agradecido,
agrandado,ADJECTIVE,agrandado,
agregado,ADJECTIVE,agregado,
agresiva,ADJECTIVE,agresivo,
agresivo,ADJECTIVE,agresivo,
agreste,ADJECTIVE,agreste,
agridulce,ADJECTIVE,agridulce,
agrio,ADJECTIVE,agrio,
aguda,ADJECTIVE,agudo,
agudo,ADJECTIVE,agudo,
aguerrido,ADJECTIVE,aguerrido,
ahogado,ADJECTIVE,ahogado,
ahorcado,ADJECTIVE,ahorcado,
ahorrativo,ADJECTIVE,ahorrativo,
libre,ADJECTIVE,libre,
puro,ADJECTIVE,puro,
aislado,ADJECTIVE,aislado,
ajena,ADJECTIVE,ajeno,
ajeno,ADJECTIVE,ajeno,
ajenos,ADJECTIVE,ajeno,
ajustado,ADJECTIVE,ajustado,
alado,ADJECTIVE,alado,
alambrado,ADJECTIVE,alambrado,
alargado,ADJECTIVE,alargado,
alborotado,ADJECTIVE,alborotado,
alcanzable,ADJECTIVE,alcanzable,
alcohólico,ADJECTIVE,alcohólico,
