word	max_lem_cat	max_lem_lemma
a	ADPOSITION	a
aba	NOUN	aba
ábaco	NOUN	ábaco
abadejo	NOUN	abadejo
abadía	NOUN	abadía
abaja	VERB	abajar
abajas	NOUN	abajas
abajo	ADVERB	abajo
abajo	ADVERB	abajo
abal	NOUN	abal
abalado	VERB	abalar
abalanza	VERB	abalanzar
abalanzar	VERB	abalanzar
abalanzarse	VERB	abalanzar
abalar	VERB	abalar
abalorio	NOUN	abalorio
abalorios	NOUN	abalorio
abanderada	VERB	abanderar
abanderado	NOUN	abanderado
abanderados	NOUN	abanderado
abanderar	VERB	abanderar
abandona	VERB	abandonar
abandonada	ADJECTIVE	abandonado
abandonadas	ADJECTIVE	abandonado
abandonado	ADJECTIVE	abandonado
abandonados	ADJECTIVE	abandonado
abandonar	VERB	abandonar
abandonar	VERB	abandonar
abandonarse	VERB	abandonar
abandonas	VERB	abandonar
abandone	VERB	abandonar
abandoné	VERB	abandonar
abandones	VERB	abandonar
abandono	NOUN	abandono
abandonó	VERB	abandonar
abanicar	VERB	abanicar
abanicarse	VERB	abanicar
abanico	NOUN	abanico
abano	NOUN	abano
abarata	VERB	abaratar
abaratamiento	NOUN	abaratamiento
abaratar	VERB	abaratar
abarca	NOUN	abarca
abarcado	VERB	abarcar
abarcador	ADJECTIVE	abarcador
abarcador	ADJECTIVE	abarcador
abarcamiento	NOUN	abarcamiento
abarcamos	VERB	abarcar
abarcando	VERB	abarcar
abarcar	VERB	abarcar
abarcará	VERB	abarcar
abarrotada	ADJECTIVE	abarrotado
abarrotado	ADJECTIVE	abarrotado
abarrotados	NOUN	abarrotado
abarrotamiento	NOUN	abarrotamiento
abarrotar	VERB	abarrotar
abarrote	NOUN	abarrote
abas	NOUN	abas
abastecedor	ADJECTIVE	abastecedor
abastecer	VERB	abastecer
abastecerse	VERB	abastecer
abastecida	ADJECTIVE	abastecido
abastecido	ADJECTIVE	abastecido
abastecimiento	NOUN	abastecimiento
abasto	NOUN	abasto
abat	NOUN	abat
abatida	ADJECTIVE	abatido
abatido	ADJECTIVE	abatido
abatidos	ADJECTIVE	abatido
abatimiento	NOUN	abatimiento
abatir	VERB	abatir
abatirse	VERB	abatir
abc	NOUN	abc
abcisas	NOUN	abcisas
abdicar	VERB	abdicar
abdomen	NOUN	abdomen
abdominal	ADJECTIVE	abdominal
abdominales	ADJECTIVE	abdominal
abdón	NOUN	abdón
abducidos	ADJECTIVE	abducido
abecedario	NOUN	abecedario
abedul	NOUN	abedul
abeja	NOUN	abeja
abejas	NOUN	abeja
abejas	NOUN	abeja
abejorro	NOUN	abejorro
abejorros	NOUN	abejorro
abel	NOUN	abel
aberración	NOUN	aberración
aberraciones	NOUN	aberración
aberrante	ADJECTIVE	aberrante
aberrar	VERB	aberrar
abertura	NOUN	abertura
aberturas	NOUN	abertura
abeto	NOUN	abeto
abetos	NOUN	abeto
abierta	ADJECTIVE	abierto
abiertas	ADJECTIVE	abierto
abierto	ADJECTIVE	abierto
abiertos	ADJECTIVE	abierto
abigarrado	ADJECTIVE	abigarrado
abiótico	ADJECTIVE	abiótico
abisal	ADJECTIVE	abisal
abismal	ADJECTIVE	abismal
abismales	ADJECTIVE	abismal
abismo	NOUN	abismo
abismos	NOUN	abismo
abito	VERB	abitar
ablación	NOUN	ablación
ablanda	VERB	ablandar
ablandar	VERB	ablandar
ablativo	NOUN	ablativo
abnegación	NOUN	abnegación
abnegada	ADJECTIVE	abnegado
abnegado	ADJECTIVE	abnegado
abnegados	ADJECTIVE	abnegado
abocada	ADJECTIVE	abocado
abocado	ADJECTIVE	abocado
abocarse	VERB	abocar
abofetear	VERB	abofetear
aboga	VERB	abogar
abogacía	NOUN	abogacía
abogad	VERB	abogar
abogada	NOUN	abogada
abogadas	NOUN	abogada
abogado	NOUN	abogado
abogados	NOUN	abogado
abogados	NOUN	abogado
abogar	VERB	abogar
abolengo	NOUN	abolengo
abolición	NOUN	abolición
abolicionismo	NOUN	abolicionismo
abolido	ADJECTIVE	abolido
abolió	VERB	abolir
abolir	VERB	abolir
abollado	ADJECTIVE	abollado
abolladura	NOUN	abolladura
abolladuras	NOUN	abolladura
abollón	NOUN	abollón
abombada	ADJECTIVE	abombado
abombado	NOUN	abombado
abombamiento	NOUN	abombamiento
abombar	VERB	abombar
abominable	ADJECTIVE	abominable
abominación	NOUN	abominación
abona	VERB	abonar
abonado	ADJECTIVE	abonado
abonar	VERB	abonar
abonarme	VERB	abonar
abono	NOUN	abono
abonos	NOUN	abono
aborda	VERB	abordar
abordado	VERB	abordar
abordaje	NOUN	abordaje
abordajes	NOUN	abordaje
abordar	VERB	abordar
abordo	NOUN	abordo
abordó	VERB	abordar
aborigen	ADJECTIVE	aborigen
aborígenes	ADJECTIVE	aborigen
aborrece	VERB	aborrecer
aborrecer	VERB	aborrecer
aborrecible	ADJECTIVE	aborrecible
aborrecido	ADJECTIVE	aborrecido
aborrecimiento	NOUN	aborrecimiento
aborrezco	VERB	aborrecer
abortado	VERB	abortar
abortar	VERB	abortar
abortistas	ADJECTIVE	abortista
abortiva	ADJECTIVE	abortivo
aborto	NOUN	aborto
aborto	NOUN	aborto
abortos	NOUN	aborto
abotonada	VERB	abotonar
abotonado	VERB	abotonar
abotonadura	NOUN	abotonadura
abotonar	VERB	abotonar
abovedados	ADJECTIVE	abovedado
abra	NOUN	abra
abracadabra	NOUN	abracadabra
abracadabra	NOUN	abracadabra
abrace	VERB	abrazar
abran	VERB	abrir
abras	NOUN	abra
abrasada	ADJECTIVE	abrasado
abrasador	ADJECTIVE	abrasador
abrasar	VERB	abrasar
abrasivo	ADJECTIVE	abrasivo
abraso	VERB	abrasar
abraza	VERB	abrazar
abraza	VERB	abrazar
abrazable	NOUN	abrazable
abrazado	ADJECTIVE	abrazado
abrazador	ADJECTIVE	abrazador
abrazados	ADJECTIVE	abrazado
abrazar	VERB	abrazar
abrazarse	VERB	abrazar
abrazas	VERB	abrazar
abrazo	NOUN	abrazo
abrazo	NOUN	abrazo
abrazó	VERB	abrazar
abrazos	NOUN	abrazo
abre	VERB	abrir
abrelatas	NOUN	abrelatas
abren	VERB	abrir
abreu	NOUN	abreu
abrevar	VERB	abrevar
abreviación	NOUN	abreviación
abreviado	ADJECTIVE	abreviado
abreviar	VERB	abreviar
abreviatura	NOUN	abreviatura
abreviaturas	NOUN	abreviatura
abrevie	VERB	abreviar
abrevio	VERB	abreviar
abri	NOUN	abri
abridor	ADJECTIVE	abridor
abridores	ADJECTIVE	abridor
abriendo	VERB	abrir
abriga	VERB	abrigar
abrigada	NOUN	abrigada
abrigadas	NOUN	abrigada
abrigado	NOUN	abrigado
abrigados	NOUN	abrigado
abrigar	VERB	abrigar
abrigarse	VERB	abrigar
abrigo	NOUN	abrigo
