"response","correction"
"A","a"
"abaco","ábaco"
"abaro","avaro"
"abitab","Abitab"
"abogacia","abogacía"
"aborigenes","aborígenes"
"absorcion","absorción"
"absorver","absorber"
"abstraccion","abstracción"
"aca","acá"
"academico","académico"
"acaros","ácaros"
"accion","acción"
"aceleracion","aceleración"
"acentuacion","acentuación"
"aceptacion","aceptación"
"acertivo","asertivo"
"acida","ácida"
"acido","ácido"
"aclaracion","aclaración"
"acne","acné"
"acojedor","acogedor"
"acordeon","acordeón"
"actuacion","actuación"
"actualizacion","actualización"
"acuatico","acuático"
"acumulacion","acumulación"
"acusacion","acusación"
"adan","Adán"
"adán","Adán"
"adaptacion","adaptación"
"ademas","además"
"aderido","adherido"
"aderir","adherir"
"adiccion","adicción"
"adicion","adición"
"adios","adiós"
"adivinacion","adivinación"
"administracion","administración"
"admiracion","admiración"
"adn","ADN"
"adolecencia","adolescencia"
"adolecente","adolescente"
"adolecentes","adolescentes"
"adolesente","adolescente"
"adolesentes","adolescentes"
"adopcion","adopción"
"adoquin","adoquín"
"adoracion","adoración"
"adquisicion","adquisición"
"aerea","aérea"
"aereo","aéreo"
"afan","afán"
"aficion","afición"
"afin","afín"
"afip","AFIP"
"afirmacion","afirmación"
"afixia","asfixia"
"afliccion","aflicción"
"africa","África"
"Africa","África"
"áfrica","África"
"ageno","ajeno"
"agil","ágil"
"agitacion","agitación"
"aglomeracion","aglomeración"
"agonia","agonía"
"agrecion","agresión"
"agresion","agresión"
"agrupacion","agrupación"
"água","agua"
"aguero","agüero"
"aguijon","aguijón"
"aguila","águila"
"agus","agua"
"ahi","ahí"
"ahinco","ahínco"
"ahua","agua"
"aito","auto"
"aji","ají"
"ajuga","aguja"
"aladin","Aladín"
"aladino","Aladín"
"alagar","halagar"
"alago","halago"
"alaja","alhaja"
"alajas","alhajas"
"alaska","Alaska"
"albedrio","albedrío"
"album","álbum"
"alcaldia","alcaldía"
"alcancia","alcancía"
"alcauete","alcahuete"
"alchol","alcohol"
"alcoholica","alcohólica"
"alcoholicas","alcohólicas"
"alcoholico","alcohólico"
