wordA	wordB	rating
astillero	aduana	2.07
cuna	taburete	2.1
laurel	mostaza	2.11
saltamontes	bogavante	2.24
tarro	bolsa	2.27
rastrillo	navaja	2.28
muleta	caña	2.36
jaula	tumba	2.4
muela	cuerno	2.4
farol	fuego	2.41
gasolina	agua	2.47
cencerro	silbato	2.5
carpintero	profesor	2.53
caldo	mayonesa	2.55
yeso	carbón	2.57
alambre	caucho	2.6
corteza	forro	2.6
frambuesa	aceituna	2.63
roscón	sorbete	2.68
manguera	acueducto	2.69
avena	nabo	2.77
hombro	útero	2.77
hueso	estómago	2.77
apeadero	aeropuerto	2.79
hacha	destornillador	2.79
orilla	esquina	2.79
rama	tubérculo	2.79
amapola	seta	2.8
arena	mármol	2.83
concha	escamas	2.83
panal	gallinero	2.83
ternera	tigre	2.83
hinojo	almendro	2.86
colmena	acuario	2.87
lata	bandeja	2.87
habas	cacahuetes	2.9
campesino	vendedor	2.93
pimiento	níspero	2.93
relámpago	volcán	2.93
sacacorchos	exprimidor	2.93
hoja	pradera	2.97
mejilla	ingle	2.97
chica	viuda	3
hoz	puñal	3
albornoz	mantilla	3.03
alpargata	bolso	3.03
golosina	pan	3.03
muslo	riñón	3.07
servilleta	manta	3.13
ventanal	baranda	3.14
techo	pasillo	3.17
vecino	arrendatario	3.2
chichón	joroba	3.23
perejil	vainilla	3.23
peatón	vagabundo	3.27
alfarero	ingeniero	3.3
lavavajillas	televisión	3.31
dueño	cliente	3.33
palomitas	pasas	3.33
pelo	cuello	3.33
azafata	peluquera	3.34
ladrillo	granito	3.37
buhardilla	terraza	3.41
médico	abogado	3.43
merluza	sapo	3.43
comadrona	maestra	3.46
tienda	feria	3.47
flequillo	vello	3.48
fresa	nuez	3.5
mariposa	pavo	3.5
sujetador	chándal	3.5
nutria	antílope	3.52
tarta	tostada	3.52
nido	cueva	3.53
charco	océano	3.6
niño	viejo	3.6
camiseta	delantal	3.63
jilguero	cisne	3.63
cárcel	asilo	3.67
